"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户登录功能，预期用户能够成功登录系统。","778","test_login_in[logindict0]","tests","Sat Oct 26 20:35:29 CST 2024","passed","Sat Oct 26 20:35:30 CST 2024","","test_add_group","",""
"测试用户登录功能，预期用户能够成功登录系统。","907","test_login[logindict0]","tests","Sat Oct 26 20:35:31 CST 2024","passed","Sat Oct 26 20:35:32 CST 2024","","test_login","",""
"测试用户登录功能，预期用户登陆失败。","5508","test_login_wracpwd1[logindicterror20]","tests","Sat Oct 26 20:35:38 CST 2024","passed","Sat Oct 26 20:35:43 CST 2024","","test_login","",""
"user添加成功。","820","test_add_group[addict0]","tests","Sat Oct 26 20:35:30 CST 2024","passed","Sat Oct 26 20:35:31 CST 2024","","test_add_users","",""
"测试用户登录功能，预期用户能够成功登录系统。","408","test_login_in[logindict0]","tests","Sat Oct 26 20:35:30 CST 2024","passed","Sat Oct 26 20:35:30 CST 2024","","test_add_users","",""
"group添加成功。","410","test_add_group[addict0]","tests","Sat Oct 26 20:35:30 CST 2024","passed","Sat Oct 26 20:35:30 CST 2024","","test_add_group","",""
"测试用户登录功能，预期用户登陆失败。","5446","test_login_wracpwd[logindicterror10]","tests","Sat Oct 26 20:35:32 CST 2024","passed","Sat Oct 26 20:35:38 CST 2024","","test_login","",""
"group添加成功。","391","test_add_group[addict0]","tests","Sat Oct 26 20:11:37 CST 2024","passed","Sat Oct 26 20:11:37 CST 2024","","test_add_group","",""
